Report Date:;15/05/2024 13:38:14
Report User Name:;clt-sonde
Report Computer Name:;CLT-THO-SA249-P
Application:;WinSitu.exe
Application Version:;5.7.6.1


Log File Properties
File Name;240515-WS-BourgetB-05-2024_2024-05-15_13-38-05-073.wsl
Create Date;15/05/2024 13:37:05

Device Properties
Device;Level TROLL 400
Site;Bourget
Device Name; 
Serial Number;1028058
Firmware Version;3.09
Hardware Version;6
Device Address;1
Device Comm Cfg;9600,8,Even,1,(Modbus-ASCII)
Used Memory;50
Used Battery;15

Log Configuration
;Log Name;240515-WS-BourgetB-05-2024
;Created By;clt-sonde
;Computer Name;CLT-THO-SA249-P
;Application;WinSitu.exe
;Application Version;5.7.6.1
;Create Date;15/05/2024 10:36:48 Paris, Madrid (heure d’été)
;Log Setup Time Zone;Paris, Madrid (heure d’été)
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Fast Linear
 ;Interval;Days: 0 hrs: 00 mins: 00 secs: 01



Level Reference Settings At Log Creation
;        Level Measurement Mode;Depth
;              Specific Gravity;0.999


Other Log Settings
;Pressure Offset:;966.732 (mBar)
;Depth of Probe:;-0.00698517 (m)
;Head Pressure:;-0.684326 (mBar)
;Temperature:;20.1221 (C)



Log Notes:
Date and Time;Note
15/05/2024 10:37:02;Used Battery: 15% Used Memory: 53%   User Name: clt-sonde
15/05/2024 10:37:14;Manual Start Command
15/05/2024 13:31:27;Used Battery: 15% Used Memory: 56%   User Name: clt-sonde
15/05/2024 13:31:29;Manual Stop Command


Log Data:
Record Count;10446

Sensors;1

 ,1,1028058,Pressure/Temp 500 PSIA (341.3m/1120ft)

Time Zone: Paris, Madrid (heure d’été)

;;Sensor: Pres(A) 1120ft                  ;
;Elapsed Time;SN#: 1028058                            ;
Date and Time;Seconds     ;Depth (m)                               ;
15/05/2024 10:37:14;       0.000;                                  -0.017;
15/05/2024 10:37:15;       1.000;                                  -0.003;
15/05/2024 10:37:16;       2.000;                                  -0.007;
15/05/2024 10:37:17;       3.000;                                  -0.021;
15/05/2024 10:37:18;       4.000;                                  -0.010;
15/05/2024 10:37:19;       5.000;                                  -0.004;
15/05/2024 10:37:20;       6.000;                                  -0.011;
15/05/2024 10:37:21;       7.000;                                  -0.014;
15/05/2024 10:37:22;       8.000;                                  -0.028;
15/05/2024 10:37:23;       9.000;                                  -0.025;
15/05/2024 10:37:24;      10.000;                                  -0.021;
15/05/2024 10:37:25;      11.000;                                  -0.018;
15/05/2024 10:37:26;      12.000;                                  -0.011;
15/05/2024 10:37:27;      13.000;                                  -0.007;
15/05/2024 10:37:28;      14.000;                                   0.003;
15/05/2024 10:37:29;      15.000;                                  -0.008;
15/05/2024 10:37:30;      16.000;                                  -0.036;
15/05/2024 10:37:31;      17.000;                                  -0.015;
15/05/2024 10:37:32;      18.000;                                  -0.019;
15/05/2024 10:37:33;      19.000;                                   0.006;
15/05/2024 10:37:34;      20.000;                                  -0.026;
15/05/2024 10:37:35;      21.000;                                  -0.015;
15/05/2024 10:37:36;      22.000;                                   0.017;
15/05/2024 10:37:37;      23.000;                                  -0.040;
15/05/2024 10:37:38;      24.000;                                  -0.058;
15/05/2024 10:37:39;      25.000;                                  -0.009;
15/05/2024 10:37:40;      26.000;                                  -0.049;
15/05/2024 10:37:41;      27.000;                                  -0.043;
15/05/2024 10:37:42;      28.000;                                  -0.009;
15/05/2024 10:37:43;      29.000;                                  -0.028;
15/05/2024 10:37:44;      30.000;                                  -0.027;
15/05/2024 10:37:45;      31.000;                                  -0.046;
15/05/2024 10:37:46;      32.000;                                  -0.037;
15/05/2024 10:37:47;      33.000;                                  -0.004;
15/05/2024 10:37:48;      34.000;                                  -0.009;
15/05/2024 10:37:49;      35.000;                                  -0.043;
15/05/2024 10:37:50;      36.000;                                  -0.063;
15/05/2024 10:37:51;      37.000;                                  -0.015;
15/05/2024 10:37:52;      38.000;                                  -0.024;
15/05/2024 10:37:53;      39.000;                                  -0.011;
15/05/2024 10:37:54;      40.000;                                  -0.006;
15/05/2024 10:37:55;      41.000;                                  -0.018;
15/05/2024 10:37:56;      42.000;                                  -0.011;
15/05/2024 10:37:57;      43.000;                                  -0.013;
15/05/2024 10:37:58;      44.000;                                  -0.014;
15/05/2024 10:37:59;      45.000;                                  -0.026;
15/05/2024 10:38:00;      46.000;                                  -0.034;
15/05/2024 10:38:01;      47.000;                                  -0.006;
15/05/2024 10:38:02;      48.000;                                  -0.039;
15/05/2024 10:38:03;      49.000;                                  -0.011;
15/05/2024 10:38:04;      50.000;                                  -0.019;
15/05/2024 10:38:05;      51.000;                                   0.012;
15/05/2024 10:38:06;      52.000;                                  -0.021;
15/05/2024 10:38:07;      53.000;                                  -0.025;
15/05/2024 10:38:08;      54.000;                                  -0.004;
15/05/2024 10:38:09;      55.000;                                  -0.022;
15/05/2024 10:38:10;      56.000;                                  -0.012;
15/05/2024 10:38:11;      57.000;                                  -0.038;
15/05/2024 10:38:12;      58.000;                                   0.008;
15/05/2024 10:38:13;      59.000;                                  -0.006;
15/05/2024 10:38:14;      60.000;                                  -0.032;
15/05/2024 10:38:15;      61.000;                                  -0.003;
15/05/2024 10:38:16;      62.000;                                  -0.025;
15/05/2024 10:38:17;      63.000;                                  -0.011;
15/05/2024 10:38:18;      64.000;                                   0.007;
15/05/2024 10:38:19;      65.000;                                  -0.008;
15/05/2024 10:38:20;      66.000;                                   0.006;
15/05/2024 10:38:21;      67.000;                                  -0.040;
15/05/2024 10:38:22;      68.000;                                  -0.019;
15/05/2024 10:38:23;      69.000;                                  -0.023;
15/05/2024 10:38:24;      70.000;                                  -0.005;
15/05/2024 10:38:25;      71.000;                                  -0.009;
15/05/2024 10:38:26;      72.000;                                  -0.030;
15/05/2024 10:38:27;      73.000;                                  -0.016;
15/05/2024 10:38:28;      74.000;                                  -0.019;
15/05/2024 10:38:29;      75.000;                                  -0.009;
15/05/2024 10:38:30;      76.000;                                  -0.016;
15/05/2024 10:38:31;      77.000;                                  -0.030;
15/05/2024 10:38:32;      78.000;                                  -0.015;
15/05/2024 10:38:33;      79.000;                                  -0.012;
15/05/2024 10:38:34;      80.000;                                  -0.033;
15/05/2024 10:38:35;      81.000;                                  -0.004;
15/05/2024 10:38:36;      82.000;                                  -0.015;
15/05/2024 10:38:37;      83.000;                                  -0.033;
15/05/2024 10:38:38;      84.000;                                  -0.025;
15/05/2024 10:38:39;      85.000;                                  -0.026;
15/05/2024 10:38:40;      86.000;                                  -0.026;
15/05/2024 10:38:41;      87.000;                                  -0.004;
15/05/2024 10:38:42;      88.000;                                  -0.014;
15/05/2024 10:38:43;      89.000;                                   0.003;
15/05/2024 10:38:44;      90.000;                                  -0.018;
15/05/2024 10:38:45;      91.000;                                  -0.007;
15/05/2024 10:38:46;      92.000;                                  -0.024;
15/05/2024 10:38:47;      93.000;                                  -0.010;
15/05/2024 10:38:48;      94.000;                                  -0.017;
15/05/2024 10:38:49;      95.000;                                  -0.045;
15/05/2024 10:38:50;      96.000;                                  -0.038;
15/05/2024 10:38:51;      97.000;                                  -0.024;
15/05/2024 10:38:52;      98.000;                                  -0.016;
15/05/2024 10:38:53;      99.000;                                  -0.041;
15/05/2024 10:38:54;     100.000;                                  -0.023;
15/05/2024 10:38:55;     101.000;                                  -0.037;
15/05/2024 10:38:56;     102.000;                                  -0.016;
15/05/2024 10:38:57;     103.000;                                  -0.026;
15/05/2024 10:38:58;     104.000;                                  -0.029;
15/05/2024 10:38:59;     105.000;                                  -0.026;
15/05/2024 10:39:00;     106.000;                                  -0.019;
15/05/2024 10:39:01;     107.000;                                  -0.032;
15/05/2024 10:39:02;     108.000;                                  -0.014;
15/05/2024 10:39:03;     109.000;                                   0.000;
15/05/2024 10:39:04;     110.000;                                   0.001;
15/05/2024 10:39:05;     111.000;                                  -0.003;
15/05/2024 10:39:06;     112.000;                                   0.004;
15/05/2024 10:39:07;     113.000;                                   0.001;
15/05/2024 10:39:08;     114.000;                                  -0.017;
15/05/2024 10:39:09;     115.000;                                  -0.020;
15/05/2024 10:39:10;     116.000;                                  -0.006;
15/05/2024 10:39:11;     117.000;                                  -0.044;
15/05/2024 10:39:12;     118.000;                                  -0.012;
15/05/2024 10:39:13;     119.000;                                  -0.012;
15/05/2024 10:39:14;     120.000;                                   0.006;
15/05/2024 10:39:15;     121.000;                                  -0.030;
15/05/2024 10:39:16;     122.000;                                  -0.004;
15/05/2024 10:39:17;     123.000;                                  -0.033;
15/05/2024 10:39:18;     124.000;                                  -0.001;
15/05/2024 10:39:19;     125.000;                                  -0.004;
15/05/2024 10:39:20;     126.000;                                  -0.025;
15/05/2024 10:39:21;     127.000;                                  -0.007;
15/05/2024 10:39:22;     128.000;                                  -0.011;
15/05/2024 10:39:23;     129.000;                                  -0.017;
15/05/2024 10:39:24;     130.000;                                  -0.010;
15/05/2024 10:39:25;     131.000;                                  -0.031;
15/05/2024 10:39:26;     132.000;                                  -0.006;
15/05/2024 10:39:27;     133.000;                                  -0.045;
15/05/2024 10:39:28;     134.000;                                  -0.023;
15/05/2024 10:39:29;     135.000;                                  -0.016;
15/05/2024 10:39:30;     136.000;                                  -0.002;
15/05/2024 10:39:31;     137.000;                                  -0.023;
15/05/2024 10:39:32;     138.000;                                  -0.016;
15/05/2024 10:39:33;     139.000;                                  -0.015;
15/05/2024 10:39:34;     140.000;                                   0.002;
15/05/2024 10:39:35;     141.000;                                   0.002;
15/05/2024 10:39:36;     142.000;                                  -0.015;
15/05/2024 10:39:37;     143.000;                                   0.010;
15/05/2024 10:39:38;     144.000;                                  -0.011;
15/05/2024 10:39:39;     145.000;                                  -0.011;
15/05/2024 10:39:40;     146.000;                                  -0.011;
15/05/2024 10:39:41;     147.000;                                  -0.004;
15/05/2024 10:39:42;     148.000;                                  -0.025;
15/05/2024 10:39:43;     149.000;                                  -0.018;
15/05/2024 10:39:44;     150.000;                                  -0.003;
15/05/2024 10:39:45;     151.000;                                  -0.021;
15/05/2024 10:39:46;     152.000;                                  -0.017;
15/05/2024 10:39:47;     153.000;                                  -0.003;
15/05/2024 10:39:48;     154.000;                                   0.004;
15/05/2024 10:39:49;     155.000;                                  -0.013;
15/05/2024 10:39:50;     156.000;                                   0.001;
15/05/2024 10:39:51;     157.000;                                  -0.031;
15/05/2024 10:39:52;     158.000;                                  -0.016;
15/05/2024 10:39:53;     159.000;                                  -0.006;
15/05/2024 10:39:54;     160.000;                                   0.001;
15/05/2024 10:39:55;     161.000;                                  -0.012;
15/05/2024 10:39:56;     162.000;                                  -0.033;
15/05/2024 10:39:57;     163.000;                                   0.002;
15/05/2024 10:39:58;     164.000;                                  -0.019;
15/05/2024 10:39:59;     165.000;                                  -0.019;
15/05/2024 10:40:00;     166.000;                                  -0.019;
15/05/2024 10:40:01;     167.000;                                   0.002;
15/05/2024 10:40:02;     168.000;                                  -0.005;
15/05/2024 10:40:03;     169.000;                                  -0.019;
15/05/2024 10:40:04;     170.000;                                  -0.004;
15/05/2024 10:40:05;     171.000;                                  -0.008;
15/05/2024 10:40:06;     172.000;                                  -0.018;
15/05/2024 10:40:07;     173.000;                                  -0.000;
15/05/2024 10:40:08;     174.000;                                   0.007;
15/05/2024 10:40:09;     175.000;                                  -0.025;
15/05/2024 10:40:10;     176.000;                                  -0.014;
15/05/2024 10:40:11;     177.000;                                  -0.011;
15/05/2024 10:40:12;     178.000;                                  -0.025;
15/05/2024 10:40:13;     179.000;                                  -0.025;
15/05/2024 10:40:14;     180.000;                                  -0.014;
15/05/2024 10:40:15;     181.000;                                  -0.024;
15/05/2024 10:40:16;     182.000;                                  -0.013;
15/05/2024 10:40:17;     183.000;                                  -0.017;
15/05/2024 10:40:18;     184.000;                                  -0.003;
