Report Date:;01/10/2024 12:44:06
Report User Name:;clt-sonde
Report Computer Name:;CLT-THO-SA249-P
Application:;WinSitu.exe
Application Version:;5.7.6.1


Log File Properties
File Name;241001-WS-Bourget-09-2024_Append_2024-10-01_12-43-35-506.wsl
Create Date;01/10/2024 12:43:35

Device Properties
Device;Level TROLL 400
Site;Default Site
Device Name; 
Serial Number;1028058
Firmware Version;3.09
Hardware Version;6
Device Address;1
Device Comm Cfg;9600,8,Even,1,(Modbus-ASCII)
Used Memory;40
Used Battery;21

Log Configuration
;Log Name;241001-WS-Bourget-09-2024
;Created By;clt-sonde
;Computer Name;CLT-THO-SA249-P
;Application;WinSitu.exe
;Application Version;5.7.6.1
;Create Date;01/10/2024 10:42:00 Paris, Madrid (heure d’été)
;Log Setup Time Zone;Paris, Madrid (heure d’été)
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Fast Linear
 ;Interval;Days: 0 hrs: 00 mins: 00 secs: 01



Level Reference Settings At Log Creation
;        Level Measurement Mode;Depth
;              Specific Gravity;0.999


Other Log Settings
;Pressure Offset:;971.374 (mBar)
;Depth of Probe:;0.0183769 (m)
;Head Pressure:;1.80035 (mBar)
;Temperature:;18.0783 (C)



Log Notes:
Date and Time;Note
01/10/2024 10:42:09;Used Battery: 21% Used Memory: 43%   User Name: clt-sonde
01/10/2024 10:42:34;Manual Start Command
01/10/2024 12:35:26;Used Battery: 21% Used Memory: 46%   User Name: clt-sonde
01/10/2024 12:35:27;Manual Stop Command


Log Data:
Record Count;6756

Sensors;1

 ,1,1028058,Pressure/Temp 500 PSIA (341.3m/1120ft)

Time Zone: Paris, Madrid (heure d’été)

;;Sensor: Pres(A) 1120ft                  ;
;Elapsed Time;SN#: 1028058                            ;
Date and Time;Seconds     ;Depth (m)                               ;
01/10/2024 10:42:34;       0.000;                                   0.013;
01/10/2024 10:42:35;       1.000;                                   0.009;
01/10/2024 10:42:36;       2.030;                                  -0.023;
01/10/2024 10:42:38;       3.107;                                  -0.030;
01/10/2024 10:42:38;       4.000;                                   0.016;
01/10/2024 10:42:39;       5.009;                                   0.003;
01/10/2024 10:42:40;       6.000;                                   0.016;
01/10/2024 10:42:41;       7.000;                                   0.026;
01/10/2024 10:42:42;       8.000;                                   0.023;
01/10/2024 10:42:43;       9.000;                                   0.016;
01/10/2024 10:42:44;      10.000;                                   0.009;
01/10/2024 10:42:45;      11.000;                                  -0.008;
01/10/2024 10:42:46;      12.001;                                   0.013;
01/10/2024 10:42:47;      13.001;                                   0.038;
01/10/2024 10:42:48;      14.001;                                   0.006;
01/10/2024 10:42:49;      15.001;                                  -0.015;
01/10/2024 10:42:50;      16.001;                                   0.034;
01/10/2024 10:42:51;      17.001;                                  -0.011;
01/10/2024 10:42:52;      18.001;                                   0.038;
01/10/2024 10:42:53;      19.001;                                   0.010;
01/10/2024 10:42:54;      20.001;                                   0.014;
01/10/2024 10:42:55;      21.001;                                   0.003;
01/10/2024 10:42:56;      22.001;                                   0.024;
01/10/2024 10:42:57;      23.001;                                   0.025;
01/10/2024 10:42:58;      24.001;                                   0.000;
01/10/2024 10:42:59;      25.001;                                   0.021;
01/10/2024 10:43:00;      26.001;                                   0.028;
01/10/2024 10:43:01;      27.001;                                   0.015;
01/10/2024 10:43:02;      28.001;                                   0.004;
01/10/2024 10:43:03;      29.001;                                   0.004;
01/10/2024 10:43:04;      30.001;                                   0.008;
01/10/2024 10:43:05;      31.001;                                   0.015;
01/10/2024 10:43:06;      32.001;                                   0.022;
01/10/2024 10:43:07;      33.001;                                   0.004;
01/10/2024 10:43:08;      34.001;                                   0.019;
01/10/2024 10:43:09;      35.001;                                   0.025;
01/10/2024 10:43:10;      36.001;                                   0.012;
01/10/2024 10:43:11;      37.001;                                   0.015;
01/10/2024 10:43:12;      38.001;                                   0.019;
01/10/2024 10:43:13;      39.001;                                   0.005;
01/10/2024 10:43:14;      40.001;                                   0.022;
01/10/2024 10:43:15;      41.001;                                  -0.002;
01/10/2024 10:43:16;      42.001;                                   0.040;
01/10/2024 10:43:17;      43.001;                                   0.012;
01/10/2024 10:43:18;      44.001;                                   0.020;
01/10/2024 10:43:19;      45.001;                                  -0.001;
01/10/2024 10:43:20;      46.001;                                   0.037;
01/10/2024 10:43:21;      47.001;                                   0.005;
01/10/2024 10:43:22;      48.001;                                   0.027;
01/10/2024 10:43:23;      49.001;                                   0.005;
01/10/2024 10:43:24;      50.001;                                   0.006;
01/10/2024 10:43:25;      51.001;                                   0.027;
01/10/2024 10:43:26;      52.001;                                  -0.008;
01/10/2024 10:43:27;      53.001;                                   0.020;
01/10/2024 10:43:28;      54.001;                                  -0.001;
01/10/2024 10:43:29;      55.001;                                   0.024;
01/10/2024 10:43:30;      56.001;                                   0.024;
01/10/2024 10:43:31;      57.001;                                   0.031;
01/10/2024 10:43:32;      58.001;                                   0.021;
01/10/2024 10:43:33;      59.001;                                   0.003;
01/10/2024 10:43:34;      60.001;                                   0.014;
01/10/2024 10:43:35;      61.001;                                   0.007;
01/10/2024 10:43:36;      62.001;                                   0.025;
01/10/2024 10:43:37;      63.001;                                   0.000;
01/10/2024 10:43:38;      64.001;                                   0.035;
01/10/2024 10:43:39;      65.001;                                  -0.007;
01/10/2024 10:43:40;      66.001;                                   0.015;
01/10/2024 10:43:41;      67.001;                                   0.018;
01/10/2024 10:43:42;      68.001;                                   0.015;
01/10/2024 10:43:43;      69.001;                                   0.011;
01/10/2024 10:43:44;      70.001;                                   0.022;
01/10/2024 10:43:45;      71.001;                                   0.001;
01/10/2024 10:43:46;      72.001;                                  -0.003;
01/10/2024 10:43:47;      73.001;                                   0.018;
01/10/2024 10:43:48;      74.001;                                   0.015;
01/10/2024 10:43:49;      75.001;                                   0.007;
01/10/2024 10:43:50;      76.001;                                  -0.017;
01/10/2024 10:43:51;      77.001;                                  -0.003;
01/10/2024 10:43:52;      78.001;                                   0.007;
01/10/2024 10:43:53;      79.001;                                  -0.018;
01/10/2024 10:43:54;      80.001;                                   0.032;
01/10/2024 10:43:55;      81.001;                                  -0.003;
01/10/2024 10:43:56;      82.001;                                   0.022;
01/10/2024 10:43:57;      83.001;                                  -0.007;
01/10/2024 10:43:58;      84.001;                                  -0.014;
01/10/2024 10:43:59;      85.001;                                   0.028;
01/10/2024 10:44:00;      86.001;                                   0.007;
01/10/2024 10:44:01;      87.001;                                   0.011;
01/10/2024 10:44:02;      88.001;                                  -0.007;
01/10/2024 10:44:03;      89.001;                                   0.018;
01/10/2024 10:44:04;      90.001;                                   0.028;
01/10/2024 10:44:05;      91.001;                                   0.007;
01/10/2024 10:44:06;      92.001;                                   0.018;
01/10/2024 10:44:07;      93.001;                                   0.028;
01/10/2024 10:44:08;      94.001;                                   0.039;
01/10/2024 10:44:09;      95.001;                                   0.014;
01/10/2024 10:44:10;      96.001;                                  -0.004;
01/10/2024 10:44:11;      97.001;                                   0.031;
01/10/2024 10:44:12;      98.001;                                   0.018;
01/10/2024 10:44:13;      99.001;                                   0.024;
01/10/2024 10:44:14;     100.001;                                   0.010;
01/10/2024 10:44:15;     101.001;                                   0.018;
01/10/2024 10:44:16;     102.001;                                  -0.014;
01/10/2024 10:44:17;     103.001;                                  -0.000;
01/10/2024 10:44:18;     104.001;                                   0.014;
01/10/2024 10:44:19;     105.001;                                   0.006;
01/10/2024 10:44:20;     106.001;                                  -0.025;
01/10/2024 10:44:21;     107.001;                                  -0.004;
01/10/2024 10:44:22;     108.001;                                  -0.001;
01/10/2024 10:44:23;     109.001;                                   0.003;
01/10/2024 10:44:24;     110.001;                                   0.017;
01/10/2024 10:44:25;     111.001;                                   0.016;
01/10/2024 10:44:26;     112.001;                                   0.041;
01/10/2024 10:44:27;     113.001;                                   0.016;
01/10/2024 10:44:28;     114.001;                                   0.043;
01/10/2024 10:44:29;     115.001;                                   0.028;
01/10/2024 10:44:30;     116.001;                                   0.027;
01/10/2024 10:44:31;     117.001;                                   0.030;
01/10/2024 10:44:32;     118.001;                                   0.059;
01/10/2024 10:44:33;     119.001;                                   0.065;
01/10/2024 10:44:34;     120.001;                                   0.056;
01/10/2024 10:44:35;     121.001;                                   0.075;
01/10/2024 10:44:36;     122.001;                                   0.023;
01/10/2024 10:44:37;     123.001;                                   0.035;
01/10/2024 10:44:38;     124.001;                                   0.022;
01/10/2024 10:44:39;     125.001;                                   0.012;
01/10/2024 10:44:40;     126.001;                                  -0.032;
01/10/2024 10:44:41;     127.001;                                  -0.004;
01/10/2024 10:44:42;     128.001;                                  -0.048;
01/10/2024 10:44:43;     129.001;                                  -0.005;
01/10/2024 10:44:44;     130.001;                                  -0.007;
01/10/2024 10:44:45;     131.001;                                  -0.010;
01/10/2024 10:44:46;     132.001;                                  -0.005;
01/10/2024 10:44:47;     133.001;                                  -0.014;
01/10/2024 10:44:48;     134.001;                                   0.001;
01/10/2024 10:44:49;     135.001;                                   0.009;
01/10/2024 10:44:50;     136.001;                                  -0.003;
01/10/2024 10:44:51;     137.001;                                  -0.005;
01/10/2024 10:44:52;     138.001;                                  -0.010;
01/10/2024 10:44:53;     139.001;                                  -0.001;
01/10/2024 10:44:54;     140.001;                                  -0.002;
01/10/2024 10:44:55;     141.001;                                   0.028;
01/10/2024 10:44:56;     142.001;                                  -0.005;
01/10/2024 10:44:57;     143.001;                                  -0.006;
01/10/2024 10:44:58;     144.001;                                  -0.025;
01/10/2024 10:44:59;     145.001;                                   0.013;
01/10/2024 10:45:00;     146.001;                                  -0.001;
01/10/2024 10:45:01;     147.001;                                   0.019;
01/10/2024 10:45:02;     148.001;                                  -0.010;
01/10/2024 10:45:03;     149.001;                                   0.015;
01/10/2024 10:45:04;     150.001;                                   0.003;
01/10/2024 10:45:05;     151.001;                                  -0.018;
01/10/2024 10:45:06;     152.001;                                   0.024;
01/10/2024 10:45:07;     153.001;                                  -0.019;
01/10/2024 10:45:08;     154.001;                                   0.030;
01/10/2024 10:45:09;     155.001;                                   0.023;
01/10/2024 10:45:10;     156.001;                                  -0.005;
01/10/2024 10:45:11;     157.001;                                   0.013;
01/10/2024 10:45:12;     158.001;                                   0.006;
01/10/2024 10:45:13;     159.001;                                   0.010;
01/10/2024 10:45:14;     160.001;                                   0.014;
01/10/2024 10:45:15;     161.001;                                  -0.000;
01/10/2024 10:45:16;     162.001;                                   0.010;
01/10/2024 10:45:17;     163.001;                                  -0.007;
01/10/2024 10:45:18;     164.001;                                   0.007;
01/10/2024 10:45:19;     165.001;                                   0.032;
01/10/2024 10:45:20;     166.001;                                  -0.003;
01/10/2024 10:45:21;     167.001;                                   0.025;
01/10/2024 10:45:22;     168.001;                                   0.005;
01/10/2024 10:45:23;     169.001;                                  -0.002;
01/10/2024 10:45:24;     170.001;                                   0.005;
01/10/2024 10:45:25;     171.001;                                   0.010;
01/10/2024 10:45:26;     172.001;                                   0.013;
01/10/2024 10:45:27;     173.001;                                  -0.022;
01/10/2024 10:45:28;     174.001;                                   0.028;
01/10/2024 10:45:29;     175.001;                                   0.000;
01/10/2024 10:45:30;     176.001;                                   0.018;
01/10/2024 10:45:31;     177.001;                                   0.040;
01/10/2024 10:45:32;     178.001;                                   0.040;
01/10/2024 10:45:33;     179.001;                                   0.006;
01/10/2024 10:45:34;     180.001;                                   0.006;
01/10/2024 10:45:35;     181.001;                                   0.003;
01/10/2024 10:45:36;     182.001;                                  -0.004;
01/10/2024 10:45:37;     183.001;                                   0.007;
01/10/2024 10:45:38;     184.001;                                   0.050;
01/10/2024 10:45:39;     185.001;                                   0.019;
01/10/2024 10:45:40;     186.001;                                   0.009;
01/10/2024 10:45:41;     187.001;                                  -0.009;
01/10/2024 10:45:42;     188.001;                                   0.020;
01/10/2024 10:45:43;     189.001;                                   0.010;
