Report Date:;29/10/2024 13:59:43
Report User Name:;clt-sonde
Report Computer Name:;LGA-THO-SA249-P
Application:;WinSitu.exe
Application Version:;5.7.8.0


Log File Properties
File Name;241029-WS-Bourget-10-2024_2024-10-29_13-59-28-637.wsl
Create Date;29/10/2024 13:59:24

Device Properties
Device;Level TROLL 400
Site;Bourget pt B
Device Name; 
Serial Number;1028058
Firmware Version;3.09
Hardware Version;6
Device Address;1
Device Comm Cfg;9600,8,Even,1,(Modbus-ASCII)
Used Memory;21
Used Battery;23

Log Configuration
;Log Name;241029-WS-Bourget-10-2024
;Created By;clt-sonde
;Computer Name;LGA-THO-SA249-P
;Application;WinSitu.exe
;Application Version;5.7.8.0
;Create Date;29/10/2024 10:41:34 Paris, Madrid
;Log Setup Time Zone;Paris, Madrid
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Fast Linear
 ;Interval;Days: 0 hrs: 00 mins: 00 secs: 01



Level Reference Settings At Log Creation
;        Level Measurement Mode;Depth
;              Specific Gravity;0.999


Other Log Settings
;Pressure Offset:;984.446 (mBar)
;Depth of Probe:;0.0155272 (m)
;Head Pressure:;1.52118 (mBar)
;Temperature:;16.372 (C)



Log Notes:
Date and Time;Note
29/10/2024 10:41:48;Used Battery: 23% Used Memory: 25%   User Name: clt-sonde
29/10/2024 10:42:01;Manual Start Command
29/10/2024 13:53:07;Used Battery: 23% Used Memory: 31%   User Name: clt-sonde
29/10/2024 13:53:09;Manual Stop Command


Log Data:
Record Count;11468

Sensors;1

 ,1,1028058,Pressure/Temp 500 PSIA (341.3m/1120ft)

Time Zone: Paris, Madrid

;;Sensor: Pres(A) 1120ft                  ;
;Elapsed Time;SN#: 1028058                            ;
Date and Time;Seconds     ;Depth (m)                               ;
29/10/2024 10:42:01;       0.000;                                  -0.018;
29/10/2024 10:42:02;       1.000;                                   0.065;
29/10/2024 10:42:03;       2.000;                                  -0.005;
29/10/2024 10:42:04;       3.000;                                   0.020;
29/10/2024 10:42:05;       4.000;                                   0.009;
29/10/2024 10:42:06;       5.000;                                  -0.029;
29/10/2024 10:42:07;       6.000;                                   0.015;
29/10/2024 10:42:08;       7.000;                                  -0.009;
29/10/2024 10:42:09;       8.000;                                  -0.010;
29/10/2024 10:42:10;       9.000;                                  -0.012;
29/10/2024 10:42:11;      10.000;                                   0.001;
29/10/2024 10:42:12;      11.000;                                  -0.009;
29/10/2024 10:42:13;      12.000;                                   0.001;
29/10/2024 10:42:14;      13.000;                                  -0.023;
29/10/2024 10:42:15;      14.000;                                   0.001;
29/10/2024 10:42:16;      15.000;                                  -0.002;
29/10/2024 10:42:17;      16.000;                                   0.002;
29/10/2024 10:42:18;      17.000;                                   0.005;
29/10/2024 10:42:19;      18.000;                                   0.019;
29/10/2024 10:42:20;      19.000;                                   0.030;
29/10/2024 10:42:21;      20.000;                                   0.005;
29/10/2024 10:42:22;      21.000;                                  -0.009;
29/10/2024 10:42:23;      22.000;                                   0.001;
29/10/2024 10:42:24;      23.000;                                   0.012;
29/10/2024 10:42:25;      24.000;                                  -0.027;
29/10/2024 10:42:26;      25.000;                                  -0.009;
29/10/2024 10:42:27;      26.000;                                  -0.023;
29/10/2024 10:42:28;      27.000;                                  -0.016;
29/10/2024 10:42:29;      28.000;                                  -0.026;
29/10/2024 10:42:30;      29.000;                                   0.001;
29/10/2024 10:42:31;      30.000;                                   0.026;
29/10/2024 10:42:32;      31.000;                                  -0.013;
29/10/2024 10:42:33;      32.000;                                   0.019;
29/10/2024 10:42:34;      33.000;                                   0.022;
29/10/2024 10:42:35;      34.000;                                   0.060;
29/10/2024 10:42:36;      35.000;                                   0.053;
29/10/2024 10:42:37;      36.000;                                   0.091;
29/10/2024 10:42:38;      37.000;                                   0.086;
29/10/2024 10:42:39;      38.000;                                   0.110;
29/10/2024 10:42:40;      39.000;                                   0.085;
29/10/2024 10:42:41;      40.000;                                   0.104;
29/10/2024 10:42:42;      41.000;                                   0.099;
29/10/2024 10:42:43;      42.000;                                   0.111;
29/10/2024 10:42:44;      43.000;                                   0.116;
29/10/2024 10:42:45;      44.000;                                   0.107;
29/10/2024 10:42:46;      45.000;                                   0.094;
29/10/2024 10:42:47;      46.000;                                   0.057;
29/10/2024 10:42:48;      47.000;                                   0.069;
29/10/2024 10:42:49;      48.000;                                   0.059;
29/10/2024 10:42:50;      49.000;                                   0.060;
29/10/2024 10:42:51;      50.000;                                   0.009;
29/10/2024 10:42:52;      51.000;                                   0.027;
29/10/2024 10:42:53;      52.000;                                   0.046;
29/10/2024 10:42:54;      53.000;                                   0.050;
29/10/2024 10:42:55;      54.000;                                   0.014;
29/10/2024 10:42:56;      55.000;                                   0.018;
29/10/2024 10:42:57;      56.000;                                   0.065;
29/10/2024 10:42:58;      57.000;                                   0.010;
29/10/2024 10:42:59;      58.000;                                   0.025;
29/10/2024 10:43:00;      59.000;                                   0.013;
29/10/2024 10:43:01;      60.000;                                   0.035;
29/10/2024 10:43:02;      61.000;                                  -0.002;
29/10/2024 10:43:03;      62.000;                                   0.016;
29/10/2024 10:43:04;      63.000;                                   0.007;
29/10/2024 10:43:05;      64.000;                                  -0.016;
29/10/2024 10:43:06;      65.000;                                  -0.021;
29/10/2024 10:43:07;      66.000;                                  -0.016;
29/10/2024 10:43:08;      67.000;                                  -0.021;
29/10/2024 10:43:09;      68.000;                                  -0.023;
29/10/2024 10:43:10;      69.000;                                  -0.049;
29/10/2024 10:43:11;      70.000;                                  -0.030;
29/10/2024 10:43:12;      71.000;                                  -0.014;
29/10/2024 10:43:13;      72.000;                                  -0.011;
29/10/2024 10:43:14;      73.000;                                  -0.041;
29/10/2024 10:43:15;      74.000;                                  -0.031;
29/10/2024 10:43:16;      75.000;                                  -0.004;
29/10/2024 10:43:17;      76.000;                                  -0.051;
29/10/2024 10:43:18;      77.000;                                  -0.048;
29/10/2024 10:43:19;      78.000;                                  -0.031;
29/10/2024 10:43:20;      79.000;                                   0.006;
29/10/2024 10:43:21;      80.000;                                  -0.040;
29/10/2024 10:43:22;      81.000;                                  -0.013;
29/10/2024 10:43:23;      82.000;                                  -0.020;
29/10/2024 10:43:24;      83.000;                                  -0.024;
29/10/2024 10:43:25;      84.000;                                  -0.031;
29/10/2024 10:43:26;      85.000;                                  -0.004;
29/10/2024 10:43:27;      86.000;                                  -0.046;
29/10/2024 10:43:28;      87.000;                                  -0.053;
29/10/2024 10:43:29;      88.000;                                  -0.026;
29/10/2024 10:43:30;      89.000;                                  -0.022;
29/10/2024 10:43:31;      90.000;                                  -0.040;
29/10/2024 10:43:32;      91.000;                                  -0.023;
29/10/2024 10:43:33;      92.000;                                  -0.012;
29/10/2024 10:43:34;      93.000;                                  -0.033;
29/10/2024 10:43:35;      94.000;                                  -0.006;
29/10/2024 10:43:36;      95.000;                                  -0.013;
29/10/2024 10:43:37;      96.000;                                  -0.013;
29/10/2024 10:43:38;      97.000;                                   0.001;
29/10/2024 10:43:39;      98.000;                                  -0.006;
29/10/2024 10:43:40;      99.000;                                  -0.020;
29/10/2024 10:43:41;     100.000;                                  -0.009;
29/10/2024 10:43:42;     101.000;                                  -0.027;
29/10/2024 10:43:43;     102.000;                                  -0.027;
29/10/2024 10:43:44;     103.000;                                  -0.006;
29/10/2024 10:43:45;     104.000;                                  -0.016;
29/10/2024 10:43:46;     105.000;                                  -0.006;
29/10/2024 10:43:47;     106.000;                                   0.023;
29/10/2024 10:43:48;     107.000;                                   0.030;
29/10/2024 10:43:49;     108.000;                                  -0.009;
29/10/2024 10:43:50;     109.000;                                   0.009;
29/10/2024 10:43:51;     110.000;                                  -0.005;
29/10/2024 10:43:52;     111.000;                                   0.002;
29/10/2024 10:43:53;     112.000;                                  -0.001;
29/10/2024 10:43:54;     113.000;                                  -0.016;
29/10/2024 10:43:55;     114.000;                                  -0.005;
29/10/2024 10:43:56;     115.000;                                   0.031;
29/10/2024 10:43:57;     116.000;                                  -0.001;
29/10/2024 10:43:58;     117.000;                                  -0.015;
29/10/2024 10:43:59;     118.000;                                  -0.001;
29/10/2024 10:44:00;     119.000;                                  -0.011;
29/10/2024 10:44:01;     120.000;                                   0.031;
29/10/2024 10:44:02;     121.000;                                  -0.018;
29/10/2024 10:44:03;     122.000;                                  -0.011;
29/10/2024 10:44:04;     123.000;                                  -0.025;
29/10/2024 10:44:05;     124.000;                                  -0.004;
29/10/2024 10:44:06;     125.000;                                   0.015;
29/10/2024 10:44:07;     126.000;                                   0.003;
29/10/2024 10:44:08;     127.000;                                   0.000;
29/10/2024 10:44:09;     128.000;                                   0.004;
29/10/2024 10:44:10;     129.000;                                  -0.014;
29/10/2024 10:44:11;     130.000;                                   0.004;
29/10/2024 10:44:12;     131.000;                                  -0.013;
29/10/2024 10:44:13;     132.000;                                  -0.003;
29/10/2024 10:44:14;     133.000;                                  -0.006;
29/10/2024 10:44:15;     134.000;                                   0.019;
29/10/2024 10:44:16;     135.000;                                   0.008;
29/10/2024 10:44:17;     136.000;                                   0.005;
29/10/2024 10:44:18;     137.000;                                  -0.019;
29/10/2024 10:44:19;     138.000;                                   0.009;
29/10/2024 10:44:20;     139.000;                                   0.005;
29/10/2024 10:44:21;     140.000;                                  -0.015;
29/10/2024 10:44:22;     141.000;                                  -0.012;
29/10/2024 10:44:23;     142.000;                                   0.020;
29/10/2024 10:44:24;     143.000;                                   0.010;
29/10/2024 10:44:25;     144.000;                                  -0.015;
29/10/2024 10:44:26;     145.000;                                  -0.032;
29/10/2024 10:44:27;     146.000;                                  -0.011;
29/10/2024 10:44:28;     147.000;                                   0.010;
29/10/2024 10:44:29;     148.000;                                  -0.004;
29/10/2024 10:44:30;     149.000;                                  -0.004;
29/10/2024 10:44:31;     150.000;                                  -0.014;
29/10/2024 10:44:32;     151.000;                                  -0.003;
29/10/2024 10:44:33;     152.000;                                  -0.017;
29/10/2024 10:44:34;     153.000;                                   0.004;
29/10/2024 10:44:35;     154.000;                                  -0.003;
29/10/2024 10:44:36;     155.000;                                  -0.010;
29/10/2024 10:44:37;     156.000;                                   0.001;
29/10/2024 10:44:38;     157.000;                                  -0.020;
29/10/2024 10:44:39;     158.000;                                  -0.003;
29/10/2024 10:44:40;     159.000;                                  -0.013;
29/10/2024 10:44:41;     160.000;                                  -0.009;
29/10/2024 10:44:42;     161.000;                                  -0.030;
29/10/2024 10:44:43;     162.000;                                  -0.023;
29/10/2024 10:44:44;     163.000;                                   0.008;
29/10/2024 10:44:45;     164.000;                                  -0.036;
29/10/2024 10:44:46;     165.000;                                  -0.005;
29/10/2024 10:44:47;     166.000;                                  -0.005;
29/10/2024 10:44:48;     167.000;                                  -0.001;
29/10/2024 10:44:49;     168.000;                                   0.006;
29/10/2024 10:44:50;     169.000;                                  -0.008;
29/10/2024 10:44:51;     170.000;                                  -0.012;
29/10/2024 10:44:52;     171.000;                                  -0.008;
29/10/2024 10:44:53;     172.000;                                  -0.018;
29/10/2024 10:44:54;     173.000;                                  -0.015;
29/10/2024 10:44:55;     174.000;                                  -0.004;
29/10/2024 10:44:56;     175.000;                                  -0.008;
29/10/2024 10:44:57;     176.000;                                  -0.004;
29/10/2024 10:44:58;     177.000;                                  -0.018;
29/10/2024 10:44:59;     178.000;                                  -0.007;
29/10/2024 10:45:00;     179.000;                                  -0.000;
29/10/2024 10:45:01;     180.000;                                  -0.014;
29/10/2024 10:45:02;     181.000;                                  -0.017;
29/10/2024 10:45:03;     182.000;                                   0.000;
29/10/2024 10:45:04;     183.000;                                  -0.027;
29/10/2024 10:45:05;     184.000;                                  -0.031;
29/10/2024 10:45:06;     185.000;                                   0.011;
29/10/2024 10:45:07;     186.000;                                   0.001;
29/10/2024 10:45:08;     187.000;                                   0.012;
